423,AFG
400,ALB
564,AND
1572,DZA
19,AGO
15,ATG
1795,ARG
881,ARM
77,ABW
6052,AUS
12969,AUT
822,AZE
40,BHS
823,BHR
218,BGD
63,BRB
1066,BLR
23403,BEL
8,BLZ
26,BEN
39,BMU
5,BTN
264,BOL
816,BIH
7,BWA
15927,BRA
3,VGB
135,BRN
593,BGR
414,BFA
3,BDI
118,KHM
730,CMR
19274,CAN
7,CPV
696,N/A
45,CYM
10,CAF
10,TCD
5546,CHL
82870,CHN
2054,COL
60,COG
502,CRI
384,CIV
1343,HRV
457,CUB
14,CUW
526,CYP
183,COD
5402,DNK
135,DJI
15,DMA
2111,DOM
4450,ECU
1560,EGY
103,SLV
18,GNQ
33,ERI
1185,EST
12,SWZ
55,ETH
184,FRO
15,FJI
2487,FIN
82048,FRA
51,PYF
33,GAB
4,GMB
211,GEO
108202,DEU
313,GHA
120,GIB
1884,GRC
11,GRL
12,GRD
125,GUM
87,GTM
181,GGY
164,GIN
33,GNB
37,GUY
27,HTI
8,VAT
343,HND
980,HUN
1616,ISL
5734,IND
2956,IDN
64586,IRN
1202,IRQ
6224,IRL
158,IMN
9404,ISR
139422,ITA
63,JAM
4257,JPN
170,JEY
358,JOR
759,KAZ
179,KEN
184,XKX
855,KWT
280,KGZ
15,LAO
577,LVA
575,LBN
31,LBR
21,LBY
79,LIE
912,LTU
3034,LUX
93,MDG
8,MWI
4119,MYS
19,MDV
59,MLI
299,MLT
6,MRT
273,MUS
3181,MEX
1174,MDA
81,MCO
16,MNG
249,MNE
9,MSR
1275,MAR
17,MOZ
22,MMR
16,NAM
9,NPL
20549,NLD
18,NCL
992,NZL
6,NIC
342,NER
276,NGA
617,MKD
11,MNP
6010,NOR
419,OMN
4322,PAK
263,PSE
2528,PAN
2,PNG
124,PRY
4342,PER
3870,PHL
5205,POL
13141,PRT
620,PRI
2210,QAT
4761,ROU
8672,RUS
110,RWA
11,KNA
14,LCA
8,VCT
308,SMR
4,STP
2932,SAU
244,SEN
2666,SRB
11,SYC
7,SLE
1623,SGP
40,SXM
682,SVK
1091,SVN
8,SOM
1845,ZAF
10423,KOR
2,SSD
146690,ESP
189,LKA
14,SDN
10,SUR
8419,SWE
22710,CHE
19,SYR
379,TWN
2423,THA
1,TLS
70,TGO
107,TTO
623,TUN
38226,TUR
8,TCA
53,UGA
1668,UKR
2659,ARE
60733,GBR
25,TZA
432132,USA
45,VIR
456,URY
555,UZB
167,VEN
251,VNM
39,ZMB
11,ZWE
11,ZWE
